iter	Passed	Remaining
707	10462	63425
708	10476	63406
709	10494	63408
710	10507	63387
711	10519	63353
712	10532	63326
713	10545	63301
714	10558	63274
715	10570	63246
716	10583	63219
717	10596	63194
718	10607	63157
719	10618	63121
720	10631	63094
721	10644	63073
722	10660	63065
723	10673	63040
724	10686	63010
725	10699	62987
726	10711	62959
727	10725	62941
728	10738	62916
729	10751	62887
730	10763	62860
731	10777	62836
732	10789	62809
733	10802	62781
734	10813	62747
735	10826	62722
736	10838	62693
737	10850	62662
738	10864	62641
739	10876	62614
740	10888	62583
741	10900	62553
742	10913	62527
743	10926	62501
744	10937	62467
745	10951	62448
746	10964	62425
747	10977	62401
748	10990	62379
749	11003	62354
750	11018	62338
751	11030	62313
752	11043	62287
753	11056	62264
754	11068	62234
755	11080	62203
756	11093	62179
757	11105	62152
758	11119	62129
759	11131	62101
760	11145	62081
761	11158	62061
762	11172	62041
763	11184	62013
764	11197	61988
765	11209	61959
766	11222	61938
767	11235	61910
768	11247	61884
769	11260	61857
770	11272	61828
771	11284	61801
772	11297	61776
773	11309	61749
774	11322	61724
775	11335	61700
776	11347	61674
777	11361	61654
778	11372	61621
779	11385	61595
780	11397	61569
781	11409	61540
782	11421	61511
783	11435	61493
784	11451	61487
785	11464	61467
786	11479	61450
787	11491	61425
788	11503	61397
789	11515	61369
790	11529	61348
791	11541	61323
792	11555	61301
793	11567	61274
794	11578	61244
795	11591	61218
796	11603	61191
797	11616	61167
798	11628	61140
799	11640	61113
800	11653	61092
801	11665	61063
802	11677	61035
803	11689	61008
804	11700	60976
805	11713	60949
806	11725	60921
807	11736	60892
808	11749	60868
809	11762	60843
810	11774	60818
811	11786	60792
812	11798	60764
813	11811	60739
814	11823	60715
815	11835	60684
816	11846	60655
817	11858	60623
818	11869	60596
819	11881	60567
820	11894	60543
821	11906	60516
822	11917	60485
823	11929	60460
824	11942	60436
825	11954	60407
826	11965	60379
827	11978	60354
828	11990	60326
829	12003	60307
830	12016	60283
831	12028	60257
832	12040	60229
833	12052	60204
834	12066	60186
835	12077	60156
836	12089	60129
837	12101	60105
838	12114	60080
839	12126	60052
840	12138	60026
841	12150	60002
842	12162	59974
