iter	Passed	Remaining
191	2723	68199
192	2736	68158
193	2749	68109
194	2761	68043
195	2772	67966
196	2786	67926
197	2798	67862
198	2810	67800
199	2822	67740
200	2835	67710
201	2848	67658
202	2860	67599
203	2872	67525
204	2883	67438
205	2895	67391
206	2907	67315
207	2920	67276
208	2935	67292
209	2949	67266
210	2960	67189
211	2972	67139
212	2986	67109
213	2998	67063
214	3011	67015
215	3023	66962
216	3036	66923
217	3048	66874
218	3061	66834
219	3073	66776
220	3085	66712
221	3097	66669
222	3109	66607
223	3121	66548
224	3132	66478
225	3143	66410
226	3155	66353
227	3166	66278
228	3178	66222
229	3190	66166
230	3203	66126
231	3214	66070
232	3226	66003
233	3237	65943
234	3249	65892
235	3261	65840
236	3274	65808
237	3286	65764
238	3299	65720
239	3311	65686
240	3323	65630
241	3335	65581
242	3347	65527
243	3359	65474
244	3370	65411
245	3382	65362
246	3393	65310
247	3406	65273
248	3418	65234
249	3431	65190
250	3442	65140
251	3453	65075
252	3465	65013
253	3476	64959
254	3488	64921
255	3501	64887
256	3513	64840
257	3526	64810
258	3541	64826
259	3553	64782
260	3565	64743
261	3578	64717
262	3590	64674
263	3602	64621
264	3614	64578
265	3626	64544
266	3637	64488
267	3649	64433
268	3661	64394
269	3673	64345
270	3684	64302
271	3697	64263
272	3709	64229
273	3721	64189
274	3732	64130
275	3744	64083
276	3755	64028
277	3767	63986
278	3779	63945
279	3791	63921
280	3804	63888
281	3816	63850
282	3829	63826
283	3840	63779
284	3853	63752
285	3866	63726
286	3876	63666
287	3888	63627
288	3900	63589
289	3915	63587
290	3928	63565
291	3939	63524
292	3950	63465
293	3962	63424
294	3974	63396
295	3986	63356
296	4000	63347
297	4011	63301
298	4024	63270
299	4036	63241
300	4048	63204
301	4059	63155
302	4071	63121
303	4084	63090
304	4095	63047
305	4107	63003
306	4119	62968
307	4130	62927
308	4142	62889
309	4153	62843
310	4164	62787
311	4175	62744
312	4186	62695
313	4198	62663
314	4211	62632
315	4222	62592
316	4233	62542
317	4244	62499
318	4256	62459
319	4268	62419
320	4280	62392
321	4292	62354
322	4304	62328
323	4317	62309
324	4328	62263
325	4340	62234
326	4352	62199
327	4364	62160
328	4374	62113
329	4386	62078
330	4398	62040
331	4410	62009
332	4422	61980
333	4433	61938
334	4445	61906
335	4457	61876
336	4468	61832
337	4479	61787
338	4493	61777
339	4505	61750
340	4517	61718
341	4529	61685
342	4540	61647
343	4553	61629
344	4564	61590
345	4576	61556
346	4587	61518
347	4600	61499
348	4611	61455
349	4622	61416
350	4633	61375
351	4645	61337
352	4656	61303
353	4668	61274
354	4681	61252
355	4693	61222
356	4704	61183
357	4715	61145
358	4728	61126
359	4739	61083
360	4749	61039
361	4761	61009
362	4774	60985
363	4785	60951
364	4797	60927
365	4810	60900
366	4821	60868
367	4833	60833
368	4845	60807
369	4857	60785
370	4869	60752
371	4881	60725
372	4892	60684
373	4905	60679
374	4917	60654
375	4929	60622
376	4941	60597
377	4952	60562
378	4965	60547
379	4978	60526
380	4990	60503
381	5002	60477
382	5014	60453
383	5026	60418
384	5037	60378
385	5048	60343
386	5059	60308
387	5071	60279
388	5083	60251
389	5094	60222
390	5106	60195
391	5117	60160
392	5129	60134
393	5140	60095
394	5151	60058
395	5163	60030
396	5175	60001
397	5186	59973
398	5198	59944
399	5210	59921
400	5221	59890
401	5233	59857
402	5245	59831
403	5256	59804
404	5267	59764
405	5277	59721
